variant,final_capital,total_return,trades,win_rate,max_drawdown,best_net_pnl,worst_net_pnl
normal_fixed_tp2_3.0,853372.5199999998,7.5337251999999975,22,0.8636363636363636,0.08055304170036785,139140.05,-31539.23999999999
opening_normal_runner_trail35,845822.6299999997,7.458226299999996,22,0.8636363636363636,0.08057347537048895,138023.55,-31262.580000000045
runner_trail35_put_delay1005,845822.6299999997,7.458226299999996,22,0.8636363636363636,0.08057347537048895,138023.55,-31262.580000000045
opening_normal_runner_trail40,836605.7099999997,7.366057099999997,22,0.8636363636363636,0.08049020422842883,136388.75,-30893.70000000004
normal_fixed_tp2_2.5,800220.1599999995,7.002201599999994,22,0.8636363636363636,0.0804392804558521,130487.34999999992,-29510.40000000001
normal_fixed_tp2_2.2,758275.3399999997,6.582753399999997,22,0.8636363636363636,0.08036033343364207,123549.34999999998,-27942.660000000003
highiv_put_no_trail_before_1030,757558.0899999996,6.575580899999996,22,0.8636363636363636,0.08056710562669604,123549.34999999998,-27297.12000000001
normal_fixed_tp2_2.0,731563.5399999996,6.315635399999996,22,0.8636363636363636,0.08052311680858287,119223.0,-27020.460000000006
base_fixed_normal_strong_trail20,721809.9299999998,6.218099299999998,22,0.8636363636363636,0.08055577258491876,117647.94999999995,-26006.040000000008
highiv_put_no_trail_before_1000,721809.9299999998,6.218099299999998,22,0.8636363636363636,0.08055577258491876,117647.94999999995,-26006.040000000008
highiv_put_no_trail_before_1005,721809.9299999998,6.218099299999998,22,0.8636363636363636,0.08055577258491876,117647.94999999995,-26006.040000000008
highiv_put_no_trail_before_1015,721809.9299999998,6.218099299999998,22,0.8636363636363636,0.08055577258491876,117647.94999999995,-26006.040000000008
opening_normal_runner_w33_trail30,681145.3299999996,5.811453299999996,22,0.8636363636363636,0.08039617693926626,115150.8999999999,-24622.740000000005
opening_normal_runner_trail30,679320.6299999997,5.793206299999997,22,0.8636363636363636,0.08049508003732031,110709.95000000001,-25083.84000000001
opening_normal_runner_w50_trail30,679320.6299999997,5.793206299999997,22,0.8636363636363636,0.08049508003732031,110709.95000000001,-25083.84000000001
runner_trail30_put_delay1005,679320.6299999997,5.793206299999997,22,0.8636363636363636,0.08049508003732031,110709.95000000001,-25083.84000000001
opening_normal_runner_w65_trail30,676507.3799999997,5.765073799999996,22,0.8636363636363636,0.08055376036521655,106607.34999999998,-25452.720000000016
strong_trail_after_25,672558.1199999998,5.725581199999998,22,0.8636363636363636,0.08043130902897591,109593.44999999995,-24622.740000000005
strong_trail_after_30,656123.9099999997,5.561239099999997,22,0.8636363636363636,0.08044067065679018,107041.54999999999,-24438.300000000017
opening_normal_runner_trail25,634547.6099999999,5.345476099999999,22,0.8636363636363636,0.08044798185522307,103373.14999999997,-23423.880000000005
runner_trail25_put_delay1005,634547.6099999999,5.345476099999999,22,0.8636363636363636,0.08044798185522307,103373.14999999997,-23423.880000000005
strong_trail_after_35,616198.1799999998,5.161981799999999,22,0.8636363636363636,0.08035925100017333,100422.44999999998,-23331.660000000003
strong_trail_after_40,601909.3599999998,5.019093599999998,22,0.8636363636363636,0.08032405651139027,98129.69999999998,-22778.339999999997
strong_trail_after_45,589041.5199999996,4.890415199999995,22,0.8636363636363636,0.08041174531714373,96036.34999999998,-22317.240000000005
opening_normal_runner_trail20,588533.9099999997,4.885339099999997,22,0.8636363636363636,0.08045498090350194,54859.45000000001,-24346.080000000016
