scenario,final_capital,total_return_pct,trades,win_rate_pct,max_drawdown_pct,addon_active_before_capacity,addon_filtered,addon_capacity_skipped,addon_executed,addon_exit_modified,addon_net_pnl,addon_top5_profit_share,addon_max_volume_share_pct
trend_ma20dev3_tp10,1364219.7099999997,1264.2197099999996,75,77.33333333333333,8.678675505333267,60,0,7,53,17,233475.58000000005,0.8486789068047287,4.88
trend_ma20dev3_tp12,1305663.7,1205.6637,75,74.66666666666667,8.68731950482159,60,0,7,53,15,192411.46000000017,1.0574790087866903,4.88
baseline,1301625.3599999996,1201.6253599999998,76,69.73684210526315,9.853686506260233,60,0,6,54,0,256521.7000000002,1.131855511638976,4.937361827560796
trend_ma20_tp12_force1300,1148292.9899999995,1048.2929899999995,76,77.63157894736842,8.689139606892565,60,0,6,54,29,177301.55999999997,1.0007785605496087,4.88
trend_ma20_tp12,1141295.35,1041.29535,76,76.31578947368422,8.684135764029223,60,0,6,54,25,155535.60000000003,1.1433787505882897,4.96
trend_ma20_tp10,1137984.2299999997,1037.9842299999998,76,78.94736842105263,8.68982803291569,60,0,6,54,28,178571.36,0.924889075157405,4.8
trend_ma20_tp10_force1300,1135765.6999999997,1035.7656999999997,76,78.94736842105263,8.684850086849345,60,0,6,54,30,177912.25999999995,0.9263605554783014,4.8
trend_ma20_tp8,1069045.7200000002,969.0457200000003,77,79.22077922077922,8.690422927330138,60,0,5,55,29,153437.25999999998,0.9510435731190711,4.72
combo_wick1p0_trend_tp10,1062343.29,962.3432900000001,57,78.94736842105263,10.694077638462735,38,22,3,35,11,150462.46000000005,1.0105710088749043,4.64
combo_wick1p0_trend_tp10_force1300,1062343.29,962.3432900000001,57,78.94736842105263,10.694077638462735,38,22,3,35,11,150462.46000000005,1.0105710088749043,4.64
combo_wick1p0_trend_tp12,1021456.1599999999,921.45616,58,75.86206896551724,10.735431557509786,38,22,2,36,9,128161.74000000021,1.1955151357963758,4.945295404814004
combo_wick1p2_trend_tp10,995942.7199999999,895.9427199999999,53,77.35849056603774,10.762694664533008,33,27,2,31,6,121085.0200000001,1.1588270786923094,4.5600000000000005
combo_wick1p2_trend_tp12,959121.6799999999,859.12168,53,75.47169811320755,10.762694664533008,33,27,2,31,5,109800.26000000005,1.261019782648966,4.5600000000000005
wick_ratio_ge_1p0,780048.2899999999,680.04829,39,69.23076923076923,10.782086079875938,18,42,1,17,0,-45248.43999999993,-1.0211335462614861,4.120676968359088
wick_ratio_ge_1p5,748442.98,648.44298,30,76.66666666666667,10.82396856581534,8,52,0,8,0,-9820.740000000023,-1.7408056826674922,3.3582089552238807
wick_ratio_ge_1p2_pullback15bp,718385.4100000001,618.3854100000001,33,72.72727272727273,10.82396856581534,11,49,0,11,0,-31366.25999999999,-1.1533093202696154,3.3582089552238807
wick_ratio_ge_1p2,718385.4100000001,618.3854100000001,33,72.72727272727273,10.82396856581534,11,49,0,11,0,-31366.25999999999,-1.1533093202696154,3.3582089552238807
wick_ratio_ge_1p0_pullback15bp,706978.8500000002,606.9788500000002,34,70.58823529411765,10.82396856581534,12,48,0,12,0,-42772.81999999999,-0.8457473694743536,3.3582089552238807
