scenario,final_capital,total_return_pct,trades,win_rate_pct,max_drawdown_pct,soft_stop_count,early_exit_count,early_exit_net_pnl
nofollow_1030_hi_lt5_cl_lte_neg3,1436798.4300000002,1336.79843,75,70.66666666666667,8.689125327564467,11,5,-57221.999999999956
baseline,1301625.3599999996,1201.6253599999998,76,69.73684210526315,9.853686506260233,13,0,0.0
timed_1030_lte_neg8,1232927.0699999998,1132.92707,76,68.42105263157895,9.155724610328399,11,3,-36980.99999999997
timed_1015_lte_neg8,1188666.2099999997,1088.6662099999996,77,67.53246753246754,12.948230393976118,12,3,-22243.999999999993
etf_1015_up05_opt_lte0,1184988.8800000001,1084.98888,76,68.42105263157895,9.798049278472353,11,6,-43040.999999999956
etf_1000_up05_opt_lte0,1163564.7499999998,1063.5647499999998,76,67.10526315789474,10.684439049375491,10,7,-83426.99999999996
etf_1015_up03_opt_lte_neg3,1113186.04,1013.18604,76,67.10526315789474,12.98682792055892,11,6,-45352.00000000002
timed_1000_lte_neg5,1097401.1399999997,997.4011399999997,76,64.47368421052632,10.708111545858543,9,10,-108697.99999999988
nofollow_1015_hi_lt5_cl_lte0,1042532.0499999999,942.53205,78,58.97435897435898,10.1299090921822,10,16,-68247.99999999991
timed_1015_lte_neg5,1037685.65,937.68565,77,63.63636363636363,12.946340976776527,10,9,-63337.99999999995
first_close_lte_neg8,855551.9299999997,755.5519299999996,79,59.49367088607595,11.590365845561386,0,26,-199777.99999999997
ema3_lte_neg8,852161.06,752.16106,79,59.49367088607595,11.214121054252214,0,26,-199280.99999999997
first_close_lte_neg10,805551.73,705.55173,79,60.75949367088608,12.02120175211773,0,23,-222606.0
first_close_lte_neg5,692795.8399999999,592.7958399999999,79,51.89873417721519,9.744413683176392,0,36,-181114.00000000003
ema3_lte_neg5,677729.1499999998,577.7291499999998,79,51.89873417721519,10.699936256869766,0,36,-186265.0000000001
